uuid,name,dob,sex,contact_info,job_id,num_course_taken,current_career_path_id,time_spent_hrs,mailing_address,career_path_id,career_path_name,hours_to_complete,job_category,avg_salary
47,Malcom van der Voort,1990-02-08,M,"{""mailing_address"": ""507 Fifth Dam, Medora, Arkansas, 01123"", ""email"": ""malcom_vandervoort4818@hmail.com""}",4,12.0,6,16.88,"507 Fifth Dam, Medora, Arkansas, 01123",6,frontend engineer,20,creative,66000
48,Malcolm van Selm,1949-10-05,M,"{""mailing_address"": ""P.O. Box 37496, Boulder Flats, Arkansas, 01797"", ""email"": ""vanselm1682@inlook.com""}",2,7.0,3,6.62,"P.O. Box 37496, Boulder Flats, Arkansas, 01797",3,data analyst,12,engineer,101000
49,Adan Claes,1989-08-18,M,"{""mailing_address"": ""232 Blue Oak, Ropesville, North Carolina, 94231"", ""email"": ""adan_claes2609@hmail.com""}",2,12.0,6,11.08,"232 Blue Oak, Ropesville, North Carolina, 94231",6,frontend engineer,20,engineer,101000
51,Valorie Rijnberk,1986-09-06,,"{""mailing_address"": ""421 Iron End Motorway, Moline Acres, Florida, 75485"", ""email"": ""valorie9955@woohoo.com""}",1,13.0,1,15.83,"421 Iron End Motorway, Moline Acres, Florida, 75485",1,data scientist,20,analytics,86000
53,Ted Groot,1950-06-06,,"{""mailing_address"": ""P.O. Box 14285, Haworth borough, Oklahoma, 66701"", ""email"": ""ted_groot7898@woohoo.com""}",2,11.0,4,19.73,"P.O. Box 14285, Haworth borough, Oklahoma, 66701",4,software engineering,25,engineer,101000
54,Lannie Frazier,1987-12-23,F,"{""mailing_address"": ""769 Green Edge, Ocean Beach village, South Carolina, 63560"", ""email"": ""frazier8553@coldmail.com""}",3,2.0,1,4.76,"769 Green Edge, Ocean Beach village, South Carolina, 63560",1,data scientist,20,software developer,110000
57,Alix Carr,1942-08-31,F,"{""mailing_address"": ""P.O. Box 72886, Hollansburg village, Nevada, 65255"", ""email"": ""alix_carr662@coldmail.com""}",2,6.0,8,18.44,"P.O. Box 72886, Hollansburg village, Nevada, 65255",8,android developer,27,engineer,101000
58,Emerita Kirkland,1966-07-15,F,"{""mailing_address"": ""261 Colonial River Vista, South Salt Lake, South Carolina, 40126"", ""email"": ""emerita_kirkland1248@woohoo.com""}",3,10.0,1,14.49,"261 Colonial River Vista, South Salt Lake, South Carolina, 40126",1,data scientist,20,software developer,110000
59,Tyron van Riemsdijk,2002-07-29,M,"{""mailing_address"": ""899 E Orchard, Estelline, Wyoming, 05477"", ""email"": ""tyron_vanriemsdijk3532@coldmail.com""}",8,12.0,8,6.17,"899 E Orchard, Estelline, Wyoming, 05477",8,android developer,27,student,10000
60,Clarence Wintershoven,1949-09-06,M,"{""mailing_address"": ""525 Butterfly Dell, Royal Pines, Utah, 89730"", ""email"": ""clarence1614@inlook.com""}",1,14.0,7,1.23,"525 Butterfly Dell, Royal Pines, Utah, 89730",7,iOS developer,27,analytics,86000
61,Jule Schermerts,1981-03-14,F,"{""mailing_address"": ""602 Heather Bay, Hazelwood, Georgia, 18705"", ""email"": ""jule_schermerts6057@inlook.com""}",6,0.0,3,7.95,"602 Heather Bay, Hazelwood, Georgia, 18705",3,data analyst,12,education,61000
62,Luanna Oliver,1993-09-13,F,"{""mailing_address"": ""904 Lost Goose Parade, Neligh, Kentucky, 00054"", ""email"": ""luanna468@inlook.com""}",5,1.0,2,6.37,"904 Lost Goose Parade, Neligh, Kentucky, 00054",2,data engineer,20,financial services,135000
64,Karl Foreman,1952-01-30,M,"{""mailing_address"": ""748 Blue Alley, Warwick, Michigan, 71021"", ""email"": ""karl_foreman3121@coldmail.com""}",4,13.0,7,20.29,"748 Blue Alley, Warwick, Michigan, 71021",7,iOS developer,27,creative,66000
66,Kenny Hebert,1985-11-12,M,"{""mailing_address"": ""426 Colonial Estate, West Union, Alabama, 86332"", ""email"": ""kenny_hebert422@woohoo.com""}",1,15.0,2,10.32,"426 Colonial Estate, West Union, Alabama, 86332",2,data engineer,20,analytics,86000
67,Landon Huang,1982-04-20,,"{""mailing_address"": ""P.O. Box 32412, Fults village, New Jersey, 66323"", ""email"": ""huang2944@inlook.com""}",4,5.0,10,8.28,"P.O. Box 32412, Fults village, New Jersey, 66323",10,ux/ui designer,15,creative,66000
68,Lashandra Jansdr,1990-12-31,,"{""mailing_address"": ""141 Indian Course Viaduct, Westwood village, Alabama, 96752"", ""email"": ""jansdr2669@coldmail.com""}",4,4.0,2,0.66,"141 Indian Course Viaduct, Westwood village, Alabama, 96752",2,data engineer,20,creative,66000
69,Cheryle Mcguire,1991-04-30,F,"{""mailing_address"": ""608 Fallen Flat, Ragan village, New Mexico, 68677"", ""email"": ""cheryle6670@inlook.com""}",1,13.0,9,0.32,"608 Fallen Flat, Ragan village, New Mexico, 68677",9,machine learning engineer,35,analytics,86000
70,Millard Nedermeyer,1948-06-27,M,"{""mailing_address"": ""947 Branch Trace, Lombard village, Florida, 42808"", ""email"": ""millard8795@coldmail.com""}",4,6.0,1,9.59,"947 Branch Trace, Lombard village, Florida, 42808",1,data scientist,20,creative,66000
73,Leonardo Carey,1974-10-09,,"{""mailing_address"": ""791 Foggy Station, Norman, South Carolina, 18947"", ""email"": ""leonardo_carey4263@woohoo.com""}",1,6.0,5,1.99,"791 Foggy Station, Norman, South Carolina, 18947",5,backend engineer,18,analytics,86000
74,Willis Burghout,1948-03-19,M,"{""mailing_address"": ""539 Pond Bay, Colerain, Vermont, 72071"", ""email"": ""burghout3492@coldmail.com""}",7,5.0,10,7.88,"539 Pond Bay, Colerain, Vermont, 72071",10,ux/ui designer,15,HR,80000
75,Junko Vermijn,1942-03-23,,"{""mailing_address"": ""P.O. Box 43101, Creekside, Delaware, 47765"", ""email"": ""junko_vermijn5645@woohoo.com""}",1,6.0,1,15.47,"P.O. Box 43101, Creekside, Delaware, 47765",1,data scientist,20,analytics,86000
76,Ozie Vaughan,1976-06-25,,"{""mailing_address"": ""334 Merry Ferry, Lostant village, Indiana, 30256"", ""email"": ""ozie_vaughan4992@woohoo.com""}",4,2.0,10,7.16,"334 Merry Ferry, Lostant village, Indiana, 30256",10,ux/ui designer,15,creative,66000
77,Alisia Dunlap,1958-02-25,F,"{""mailing_address"": ""656 Burning Cliff, Garden Plain, Delaware, 38498"", ""email"": ""alisia4066@inlook.com""}",6,1.0,3,10.51,"656 Burning Cliff, Garden Plain, Delaware, 38498",3,data analyst,12,education,61000
78,Tammie Lagerweij,1990-11-03,F,"{""mailing_address"": ""P.O. Box 62716, Kingsport, West Virginia, 80515"", ""email"": ""tammie4433@woohoo.com""}",1,14.0,1,15.58,"P.O. Box 62716, Kingsport, West Virginia, 80515",1,data scientist,20,analytics,86000
79,Kizzy Mendez,1952-09-26,F,"{""mailing_address"": ""576 NE Fourth Terrace, Clawson, New Hampshire, 11901"", ""email"": ""kizzy_mendez7051@woohoo.com""}",6,4.0,9,35.79,"576 NE Fourth Terrace, Clawson, New Hampshire, 11901",9,machine learning engineer,35,education,61000
80,Vina Chan,1977-02-14,F,"{""mailing_address"": ""837 Main Track, Abbeville, Pennsylvania, 88855"", ""email"": ""vina4276@hmail.com""}",6,3.0,6,3.22,"837 Main Track, Abbeville, Pennsylvania, 88855",6,frontend engineer,20,education,61000
82,Woodrow Rosieu,1995-11-13,M,"{""mailing_address"": ""P.O. Box 40606, Losantville, New Mexico, 21744"", ""email"": ""woodrow1266@hmail.com""}",6,1.0,5,6.03,"P.O. Box 40606, Losantville, New Mexico, 21744",5,backend engineer,18,education,61000
83,Tameka Weir,1981-12-16,F,"{""mailing_address"": ""989 SE First Heights, Fairmount Heights, North Carolina, 71705"", ""email"": ""weir9881@hmail.com""}",4,2.0,7,6.6,"989 SE First Heights, Fairmount Heights, North Carolina, 71705",7,iOS developer,27,creative,66000
84,Erick Adkins,1950-06-09,M,"{""mailing_address"": ""84 Indian Mill, Harrisburg, California, 68986"", ""email"": ""erick_adkins8044@inlook.com""}",7,14.0,6,6.89,"84 Indian Mill, Harrisburg, California, 68986",6,frontend engineer,20,HR,80000
85,Sherwood Guerra,2001-02-27,M,"{""mailing_address"": ""240 Silent Lock, Harker Heights, Alaska, 64115"", ""email"": ""sherwood_guerra2787@inlook.com""}",3,14.0,4,22.81,"240 Silent Lock, Harker Heights, Alaska, 64115",4,software engineering,25,software developer,110000
86,Lonna van der Beek,1960-08-03,F,"{""mailing_address"": ""761 Hidden Summit Boulevard, Peebles village, Alaska, 65204"", ""email"": ""lonna_vanderbeek5986@hmail.com""}",1,4.0,10,9.62,"761 Hidden Summit Boulevard, Peebles village, Alaska, 65204",10,ux/ui designer,15,analytics,86000
87,Rosina Bender,1961-06-05,F,"{""mailing_address"": ""154 Velvet Fort, Waynesboro, New York, 07084"", ""email"": ""rosina_bender3174@coldmail.com""}",2,10.0,7,4.93,"154 Velvet Fort, Waynesboro, New York, 07084",7,iOS developer,27,engineer,101000
88,Danilo van Zijderveld,1981-07-11,M,"{""mailing_address"": ""111 Easy Embers Plain, East Brewton, Arkansas, 55788"", ""email"": ""danilo1680@woohoo.com""}",4,4.0,3,12.52,"111 Easy Embers Plain, East Brewton, Arkansas, 55788",3,data analyst,12,creative,66000
90,Everett Williams,1967-05-14,M,"{""mailing_address"": ""865 W Eighth, Fort Atkinson, New Jersey, 78282"", ""email"": ""everett3701@woohoo.com""}",4,8.0,7,16.71,"865 W Eighth, Fort Atkinson, New Jersey, 78282",7,iOS developer,27,creative,66000
91,Angelo Kloosterboer,1968-12-15,M,"{""mailing_address"": ""788 Embers Narrow, West Pensacola, Oklahoma, 47336"", ""email"": ""angelo_kloosterboer7172@woohoo.com""}",4,4.0,8,7.53,"788 Embers Narrow, West Pensacola, Oklahoma, 47336",8,android developer,27,creative,66000
92,Mendy de Prijs,1984-10-15,F,"{""mailing_address"": ""272 NE Summit, Guntersville, Wisconsin, 25336"", ""email"": ""mendy_deprijs8898@hmail.com""}",2,2.0,9,8.21,"272 NE Summit, Guntersville, Wisconsin, 25336",9,machine learning engineer,35,engineer,101000
93,Angella Lucas,1944-04-02,,"{""mailing_address"": ""291 Cedar Jetty, Twin Hills, Texas, 17665"", ""email"": ""angella9307@inlook.com""}",5,3.0,6,16.82,"291 Cedar Jetty, Twin Hills, Texas, 17665",6,frontend engineer,20,financial services,135000
94,Kenneth Bean,1951-02-16,,"{""mailing_address"": ""91 Grand Shadow, Edcouch, New York, 43284"", ""email"": ""kenneth_bean7121@woohoo.com""}",3,6.0,10,0.0,"91 Grand Shadow, Edcouch, New York, 43284",10,ux/ui designer,15,software developer,110000
95,Kylee Brown,1952-07-29,F,"{""mailing_address"": ""259 Merry Highlands, Thornburg borough, New Mexico, 78662"", ""email"": ""kylee_brown5859@inlook.com""}",4,0.0,6,18.98,"259 Merry Highlands, Thornburg borough, New Mexico, 78662",6,frontend engineer,20,creative,66000
96,Myesha Dudley,1980-09-28,F,"{""mailing_address"": ""554 Merry Lagoon, Jewett, Delaware, 49453"", ""email"": ""myesha_dudley5002@coldmail.com""}",4,2.0,10,4.73,"554 Merry Lagoon, Jewett, Delaware, 49453",10,ux/ui designer,15,creative,66000
98,Martin Ramirez,1963-12-24,M,"{""mailing_address"": ""317 S Quay, Eldred village, Texas, 61061"", ""email"": ""ramirez7186@hmail.com""}",6,0.0,6,4.07,"317 S Quay, Eldred village, Texas, 61061",6,frontend engineer,20,education,61000
99,Violette Mills,1999-11-04,F,"{""mailing_address"": ""165 Cliff Station, Radium Springs, Kansas, 22961"", ""email"": ""violette2248@hmail.com""}",1,5.0,4,19.25,"165 Cliff Station, Radium Springs, Kansas, 22961",4,software engineering,25,analytics,86000
100,Elsy Rich,1982-03-11,F,"{""mailing_address"": ""540 Fallen Circle Gardens, Dunns, South Dakota, 17245"", ""email"": ""rich4880@woohoo.com""}",7,12.0,9,26.09,"540 Fallen Circle Gardens, Dunns, South Dakota, 17245",9,machine learning engineer,35,HR,80000
101,Marlin Salinas,1953-08-08,,"{""mailing_address"": ""389 Stony Harbor, Nicoma Park, Tennessee, 53885"", ""email"": ""marlin_salinas1174@hmail.com""}",7,15.0,8,14.05,"389 Stony Harbor, Nicoma Park, Tennessee, 53885",8,android developer,27,HR,80000
102,Benny Carlson,1999-01-23,M,"{""mailing_address"": ""356 Dewy Fifth, Hamer, Arizona, 27476"", ""email"": ""carlson1934@woohoo.com""}",6,9.0,4,24.96,"356 Dewy Fifth, Hamer, Arizona, 27476",4,software engineering,25,education,61000
103,Amado van Luijn,1986-01-21,M,"{""mailing_address"": ""780 Bright End, Bellemeade, Iowa, 07765"", ""email"": ""amado4919@hmail.com""}",7,11.0,7,0.82,"780 Bright End, Bellemeade, Iowa, 07765",7,iOS developer,27,HR,80000
104,Antone Hodge,1981-10-06,M,"{""mailing_address"": ""520 Pony Port, Bonney Lake, Texas, 83429"", ""email"": ""antone7687@inlook.com""}",5,4.0,4,11.11,"520 Pony Port, Bonney Lake, Texas, 83429",4,software engineering,25,financial services,135000
105,Darryl van Het kaar,1945-02-17,M,"{""mailing_address"": ""726 Emerald Wintergreen, Worley, New Hampshire, 91271"", ""email"": ""vanhetkaar9889@woohoo.com""}",2,14.0,8,1.09,"726 Emerald Wintergreen, Worley, New Hampshire, 91271",8,android developer,27,engineer,101000
106,Kraig Hays,1986-11-28,M,"{""mailing_address"": ""824 SE Route, Oak Creek, Alabama, 28664"", ""email"": ""kraig_hays5756@hmail.com""}",4,11.0,10,0.37,"824 SE Route, Oak Creek, Alabama, 28664",10,ux/ui designer,15,creative,66000
107,Rubin Klarenbos,1999-01-09,M,"{""mailing_address"": ""522 Sixth Union, Kanopolis, Iowa, 52344"", ""email"": ""rubin124@woohoo.com""}",4,10.0,7,6.89,"522 Sixth Union, Kanopolis, Iowa, 52344",7,iOS developer,27,creative,66000
108,Otto Sykes,1968-10-20,M,"{""mailing_address"": ""288 Little Kennedy Run, Worden village, Wisconsin, 09681"", ""email"": ""sykes668@coldmail.com""}",3,5.0,2,14.97,"288 Little Kennedy Run, Worden village, Wisconsin, 09681",2,data engineer,20,software developer,110000
109,Ismael van der Veur,1963-06-23,M,"{""mailing_address"": ""847 Wintergreen Bypass, Rudyard, Georgia, 58347"", ""email"": ""vanderveur8453@coldmail.com""}",1,15.0,5,8.85,"847 Wintergreen Bypass, Rudyard, Georgia, 58347",5,backend engineer,18,analytics,86000
110,Gricelda Chan,1950-04-21,F,"{""mailing_address"": ""2 Cliff Landing, Hidden Valley, Missouri, 45627"", ""email"": ""chan7429@coldmail.com""}",2,15.0,2,18.56,"2 Cliff Landing, Hidden Valley, Missouri, 45627",2,data engineer,20,engineer,101000
111,Craig van Zeijl,1955-08-24,,"{""mailing_address"": ""837 Cinder Peavey Quay, North Alamo, North Carolina, 56282"", ""email"": ""craig_vanzeijl5523@inlook.com""}",1,15.0,1,2.44,"837 Cinder Peavey Quay, North Alamo, North Carolina, 56282",1,data scientist,20,analytics,86000
112,Brandie Montes,1975-03-29,,"{""mailing_address"": ""P.O. Box 35869, Ottumwa, Maine, 20129"", ""email"": ""brandie_montes3415@coldmail.com""}",5,12.0,8,27.44,"P.O. Box 35869, Ottumwa, Maine, 20129",8,android developer,27,financial services,135000
113,Andreas Williamson,1947-10-18,M,"{""mailing_address"": ""833 Silent Crossroad, Filley village, Maine, 83760"", ""email"": ""andreas7634@coldmail.com""}",7,5.0,2,3.36,"833 Silent Crossroad, Filley village, Maine, 83760",2,data engineer,20,HR,80000
114,Bethanie Dawson,1966-11-25,F,"{""mailing_address"": ""404 Grand Woods, Rankin village, South Carolina, 50728"", ""email"": ""bethanie_dawson4388@woohoo.com""}",3,2.0,8,16.69,"404 Grand Woods, Rankin village, South Carolina, 50728",8,android developer,27,software developer,110000
115,Dale Stokes,1983-08-06,M,"{""mailing_address"": ""85 Clear Beach, Keyes, Montana, 16624"", ""email"": ""dale_stokes6752@coldmail.com""}",6,1.0,7,27.26,"85 Clear Beach, Keyes, Montana, 16624",7,iOS developer,27,education,61000
116,Pablo Smith,1978-07-05,M,"{""mailing_address"": ""496 Thunder Mountain Street, Browns borough, South Dakota, 04819"", ""email"": ""pablo_smith5192@woohoo.com""}",7,2.0,8,11.28,"496 Thunder Mountain Street, Browns borough, South Dakota, 04819",8,android developer,27,HR,80000
